Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Ewha Womans University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),B,23.4,22.2,79.4,9.1,8.3,27.3,33.2,15.8,31.2,Public
IE University,ES,Spain,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),High Research Activity,Young (10-24 years old),C,6.7,47.6,66.6,2.6,92.9,100.0,6.0,67.9,31.1,Public
University of Jyväskylä,FI,Finland,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,16.9,15.4,83.6,19.3,39.1,3.1,79.0,6.3,31.1,Private
University of Southern Denmark (SDU),DK,Denmark,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,19.3,20.6,35.2,44.5,82.4,22.7,82.5,21.1,31.1,Private
Johannes Kepler University Linz,AT,Austria,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,11.4,11.0,79.5,20.0,84.2,22.4,62.7,21.1,31.0,Private
University of Connecticut,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,15.5,10.7,11.5,82.8,69.0,24.4,86.9,35.5,31.0,Private
Norwegian University of Science And Technology,NO,Norway,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,33.9,27.0,25.5,25.1,76.6,11.4,95.8,47.9,30.9,Private
Universität Jena,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,18.4,3.3,99.9,9.2,13.75,24.0,87.7,8.1,30.9,Private
 University of Dundee,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,18.9,15.0,35.5,30.1,99.0,69.8,57.9,11.8,30.8,Private
Beijing Institute of Technology,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,20.7,15.0,37.7,64.3,3.4,4.7,63.4,14.5,30.7,Private
"City, University of London",UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,20.6,18.7,8.6,44.3,97.3,99.5,67.6,42.3,30.7,Private
Universität Stuttgart,DE,Germany,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,24.1,24.2,5.7,65.8,36.7,47.3,80.9,28.3,30.7,Private
"University of Chemistry and Technology, Prague",CZ,Czech Republic,Europe,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,6.5,7.9,99.7,13.0,28.3,61.2,35.2,44.1,30.6,Private
ITMO University,RU,Russia,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,11.9,15.5,96.2,7.3,23.1,42.8,61.7,4.2,30.5,Private
University of Victoria (UVic),CA,Canada,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,17.1,9.8,3.6,71.9,91.2,58.2,63.8,10.4,30.5,Private
Universiti Teknologi PETRONAS (UTP),MY,Malaysia,Asia,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Established (25-49 years old),B,16.4,29.8,31.8,46.0,85.2,18.4,65.5,10.6,30.4,Public
George Washington University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,27.2,29.0,31.3,32.6,39.2,32.1,86.1,66.6,30.3,Public
Kobe University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,27.3,35.9,64.1,9.3,8.6,9.2,45.1,12.9,30.2,Private
Pontificia Universidad Católica del Perú,PE,Peru,South America,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),B,43.8,63.2,27.7,1.8,4.3,1.5,34.5,48.9,30.2,Public
Quaid-i-Azam University,PK,Pakistan,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,15.4,38.4,2.6,95.8,3.8,2.6,59.2,16.6,30.2,Private
University of South Australia,AU,Australia,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,21.7,12.7,20.8,38.2,99.9,65.2,76.0,19.1,30.2,Private
Virginia Polytechnic Institute and State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,28.5,25.6,20.0,38.5,68.4,18.5,84.1,28.5,30.2,Private
Lincoln University ,NZ,New Zealand,Oceania,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,7.5,5.9,43.7,39.1,100.0,95.5,20.8,93.6,30.1,Private
Airlangga University,ID,Indonesia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,30.8,60.9,48.3,1.3,26.0,3.0,14.5,10.0,29.9,Private
American University of Sharjah,AE,United Arab Emirates,Asia,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),B,18.7,35.8,26.2,17.3,100.0,100.0,30.2,79.3,29.9,Public
Indian Institute of Technology Roorkee (IITR),IN,India,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,16.0,23.9,9.6,94.5,1.1,2.5,35.6,18.4,29.9,Private
Umea University,SE,Sweden,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,20.0,11.5,77.1,17.0,25.7,10.6,82.4,6.2,29.9,Private
Universidade Nova de Lisboa,PT,Portugal,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,28.7,20.5,25.0,35.0,23.6,60.8,88.4,22.1,29.9,Private
University of Kansas,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,14.9,16.1,80.5,11.2,68.9,8.2,80.9,23.1,29.9,Private
"University of California, Santa Cruz",US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,18.6,5.0,8.0,81.4,63.5,13.4,60.5,15.4,29.8,Private
University of Kent,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,18.2,6.4,16.6,50.7,96.7,68.4,69.5,32.7,29.8,Private
University Ulm,DE,Germany,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,7.6,3.2,80.6,34.4,42.7,23.0,60.7,7.5,29.8,Private
Czech Technical University in Prague,CZ,Czech Republic,Europe,"Large (>=12,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Historic (100 years old and more),A,19.9,33.2,68.9,4.9,23.7,47.3,75.0,8.7,29.7,Private
Nankai University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,21.2,5.0,28.7,70.5,11.0,3.7,39.1,24.2,29.7,Private
Sharif University of Technology,IR,"Iran, Islamic Republic of",Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,11.6,31.8,7.7,98.3,8.0,1.3,52.3,82.0,29.6,Private
University of Hawaiʻi at Mānoa,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,15.6,14.3,45.4,46.1,55.4,14.2,84.8,10.2,29.6,Private
Peter the Great St. Petersburg Polytechnic University,RU,Russia,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,15.0,10.4,81.4,3.7,16.4,89.3,45.4,18.7,29.5,Private
Pontificia Universidad Javeriana,CO,Colombia,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),B,41.0,82.4,20.1,1.8,4.9,1.9,27.6,37.2,29.5,Public
Indian Institute of Technology Guwahati (IITG),IN,India,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,15.1,16.9,9.5,96.3,3.4,1.3,36.6,23.5,29.3,Private
Sultan Qaboos University,OM,Oman,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),A,15.0,16.9,67.3,14.3,100.0,3.7,86.8,63.4,29.3,Private
Taipei Medical University (TMU),TW,Taiwan,Asia,"Medium (>=5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Young (10-24 years old),B,9.7,17.0,92.3,17.0,18.1,16.1,24.0,26.5,29.3,Public
Westfälische Wilhelms-Universität Münster ,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,33.1,22.2,46.3,13.6,29.1,5.3,83.1,19.3,29.3,Private
Lappeenranta-Lahti University of Technology LUT,FI,Finland,Europe,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Mature (50-99 years old),A,7.0,18.1,13.5,96.8,35.4,11.3,55.2,11.3,29.2,Private
Northeastern University,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,20.5,12.5,17.8,37.1,76.0,95.8,75.6,46.2,29.2,Public
Pakistan Institute of Engineering and Applied Sciences (PIEAS),PK,Pakistan,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,5.2,8.2,86.4,44.1,13.75,10.8,23.4,91.2,29.1,Private
Universidad de Palermo (UP),AR,Argentina,South America,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Medium Research Activity,Established (25-49 years old),B,9.7,9.9,87.8,1.1,29.4,96.7,4.0,11.8,29.1,Public
Chung-Ang University (CAU),KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,16.7,35.3,72.4,8.6,13.9,34.7,33.0,12.8,29.0,Public
Tokyo Medical and Dental University (TMDU),JP,Japan,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,10.6,4.8,100.0,15.8,3.2,16.6,24.7,6.4,29.0,Private
University of Oulu,FI,Finland,Europe,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,15.6,22.6,30.0,55.6,56.8,7.5,84.4,24.6,29.0,Private
University of Utah,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,16.5,7.6,62.5,38.0,18.9,9.2,82.2,15.2,29.0,Private
Indian Institute of Technology Indore (IIT Indore),IN,India,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Young (10-24 years old),A,4.7,4.3,42.1,88.7,2.5,10.8,23.8,37.2,28.7,
Shandong University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,13.8,32.8,19.2,76.4,9.8,3.8,59.4,17.7,28.7,Private
National Research Tomsk Polytechnic University,RU,Russia,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,9.4,7.8,91.9,5.3,8.9,80.6,78.0,4.5,28.6,Private
Tilburg University,NL,Netherlands,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,14.8,30.7,10.6,50.1,95.3,52.0,51.9,10.6,28.6,Private
Universitat Politècnica de València,ES,Spain,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,26.0,10.2,60.3,17.6,4.8,20.8,84.6,13.9,28.4,Private
Vilnius University ,LT,Lithuania,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,20.0,27.5,79.8,3.1,10.4,9.1,74.3,52.4,28.4,Private
Colegio de México,MX,Mexico,North America,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),High Research Activity,Mature (50-99 years old),A,14.9,3.9,100.0,1.5,10.1,19.8,1.7,99.6,28.3,
Royal Holloway University of London,UK,United Kingdom,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,16.8,7.5,15.8,42.5,94.3,86.9,64.7,11.5,28.3,Private
University of Pisa,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,40.6,14.7,7.0,41.7,6.6,4.6,90.8,12.1,28.2,Private
Satbayev University,KZ,Kazakhstan,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,18.7,28.9,79.7,1.3,22.8,4.1,12.0,13.7,28.1,Private
Sichuan University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,18.2,4.0,14.6,83.5,5.9,5.8,69.2,18.6,28.0,Private
South China University of Technology,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,10.7,3.5,18.6,93.7,10.5,4.6,65.1,28.9,28.0,Private
Colorado State University,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,19.1,19.2,63.5,20.8,21.2,5.3,77.9,19.8,27.9,Private
Technion - Israel Institute of Technology,IL,Israel,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,25.0,24.3,35.4,23.2,67.0,4.6,54.4,49.1,27.9,Private
HUFS - Hankuk (Korea) University of Foreign Studies ,KR,South Korea,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Established (25-49 years old),B,11.3,26.0,82.3,1.6,34.0,41.3,13.0,7.8,27.8,Public
Julius-Maximilians-Universität Würzburg,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,16.2,4.2,4.6,85.5,43.8,10.6,77.3,2.9,27.8,Private
Brunel University London,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,11.1,13.2,9.9,49.4,99.7,98.6,86.7,22.4,27.7,Private
University of Johannesburg,ZA,South Africa,Africa,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Young (10-24 years old),A,15.2,21.5,40.3,18.3,94.3,58.4,88.1,38.9,27.7,Private
University of the Philippines,PH,Philippines,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,32.4,47.6,46.8,1.8,2.1,1.3,41.1,46.4,27.7,Private
Tampere University,FI,Finland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,New (Less than 10 years old),A,23.7,27.7,27.7,37.8,36.3,6.9,84.3,5.8,27.6,Private
Ruhr-Universität Bochum,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,21.4,8.9,2.2,72.6,29.7,28.5,84.8,12.5,27.5,Private
"Stony Brook University, State University of New York",US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,19.3,9.8,31.7,34.7,47.5,60.2,79.1,24.5,27.5,Private
The American University in Cairo,EG,Egypt,Africa,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Historic (100 years old and more),B,28.3,20.2,40.8,4.1,96.1,4.3,21.9,92.5,27.5,Public
University of Naples - Federico II,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,34.2,14.8,4.8,55.4,2.6,1.1,91.3,17.0,27.5,Private
Johannes Gutenberg Universität Mainz,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,21.3,15.6,54.4,17.4,39.3,17.9,92.5,11.2,27.4,Private
Universität Leipzig,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,26.0,6.6,66.6,9.9,13.75,17.1,85.9,13.5,27.4,
National Technical University of Athens,GR,Greece,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,18.7,45.7,5.3,67.9,1.4,7.5,68.9,68.0,27.3,Private
Shanghai University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,21.1,8.5,54.2,22.3,44.3,7.0,56.0,13.0,27.3,Private
Xiamen University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,23.9,8.8,21.8,59.3,6.1,3.8,61.6,23.7,27.3,Private
Flinders University,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,12.1,7.0,6.3,53.5,97.7,93.8,83.7,14.7,27.2,Private
Swansea University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,18.5,33.7,25.9,24.4,72.8,52.8,83.2,7.3,27.2,Private
University at Buffalo SUNY,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,17.7,10.6,7.2,57.9,76.0,42.7,70.9,35.5,27.2,Private
National Sun Yat-sen University,TW,Taiwan,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,25.3,24.9,36.7,27.3,20.6,10.6,31.2,7.5,27.1,Private
"University of Colorado, Denver ",US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,7.9,8.2,100.0,11.6,4.0,10.0,75.4,4.6,27.1,Private
University of Science and Technology Beijing,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,13.1,3.4,11.8,93.2,3.7,3.4,56.2,4.6,27.1,Private
University of Witwatersrand,ZA,South Africa,Africa,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,25.1,38.9,12.3,30.5,80.8,9.1,91.4,89.2,27.1,Private
Universidad Austral,AR,Argentina,South America,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),High Research Activity,Established (25-49 years old),B,17.5,32.7,77.9,1.8,2.7,9.5,3.6,11.5,27.0,Public
Université Laval,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,20.0,17.8,32.0,27.6,67.4,33.5,84.6,17.0,26.9,Private
Far Eastern Federal University,RU,Russia,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Historic (100 years old and more),A,8.4,3.4,93.2,1.9,15.4,63.4,40.5,11.6,26.8,Private
Université de Strasbourg,FR,France,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,40.7,6.8,5.1,24.9,37.3,37.4,86.6,11.2,26.8,Private
National Taipei University of Technology,TW,Taiwan,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,15.2,58.2,28.9,32.2,23.2,24.6,24.3,25.1,26.6,Private
Università Vita-Salute San Raffaele,IT,Italy,Europe,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Established (25-49 years old),B,3.0,1.4,99.7,22.7,8.7,4.9,35.7,9.5,26.6,Public
Oxford Brookes University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Established (25-49 years old),A,27.0,41.4,13.0,9.2,67.3,71.9,52.1,32.7,26.5,Private
University of Coimbra,PT,Portugal,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,30.1,13.8,14.5,38.6,12.3,33.7,86.3,30.9,26.5,Private
Wake Forest University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,5.4,7.3,100.0,12.6,6.0,12.9,50.8,43.0,26.5,Public
Universidade Federal de São Paulo,BR,Brazil,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,11.3,4.8,98.2,6.6,5.6,1.5,45.3,3.1,26.4,Private
Universität des Saarlandes,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,10.2,7.5,86.8,9.0,5.5,41.0,80.3,23.6,26.4,Private
Amirkabir University of Technology,IR,"Iran, Islamic Republic of",Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,5.0,23.4,4.9,99.6,15.7,2.4,62.6,39.9,26.3,Private
Auezov South Kazakhstan University (SKU),KZ,Kazakhstan,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Medium Research Activity,Mature (50-99 years old),A,11.8,13.7,90.5,1.0,15.0,21.3,2.7,10.8,26.3,Private
Beihang University (former BUAA),CN,China (Mainland),Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Young (10-24 years old),A,13.1,4.4,31.0,67.8,8.3,5.5,52.1,13.8,26.3,Private
Illinois Institute of Technology,US,United States,North America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,14.8,8.2,14.7,52.9,23.7,95.0,31.3,22.8,26.3,Public
SOAS University of London ,UK,United Kingdom,Europe,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Historic (100 years old and more),A,17.9,10.2,23.8,16.4,100.0,99.7,17.9,68.6,26.3,Private
Washington State University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,25.5,24.4,15.3,36.2,57.4,6.4,78.7,13.3,26.3,Private
Bogor Agricultural University,ID,Indonesia,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,19.6,28.5,60.7,1.7,54.6,3.3,21.6,11.6,26.2,Private
Hasselt University ,BE,Belgium,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,4.7,3.8,78.8,16.6,68.6,25.3,74.1,11.7,26.2,Private
Umm Al-Qura University ,SA,Saudi Arabia,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,16.9,10.5,59.8,1.9,100.0,19.3,35.1,3.9,26.2,Private
Universidad de Montevideo (UM),UY,Uruguay,South America,"Small (Fewer than 5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Low Research Activity,Established (25-49 years old),B,16.6,19.8,78.9,1.1,26.1,3.6,1.8,87.6,26.2,Public
"University of California, Riverside",US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,17.8,8.5,8.0,61.8,72.0,9.4,76.0,11.6,26.1,Private
Stellenbosch University,ZA,South Africa,Africa,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,24.5,35.7,3.6,51.2,21.5,9.1,86.6,53.8,26.0,Private
University of Tromsø The Arctic University of Norway,NO,Norway,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,12.4,3.9,73.2,9.3,71.2,8.5,77.1,22.9,26.0,Private
York University,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,22.6,31.3,6.1,28.2,52.0,82.1,60.8,48.7,25.9,Private
Institut National des Sciences Appliquées de Lyon (INSA),FR,France,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,7.5,31.7,37.8,32.3,29.0,79.0,81.0,28.2,25.7,Private
Sogang University,KR,South Korea,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),B,18.1,44.5,51.6,6.3,9.8,36.2,13.8,30.3,25.7,Public
University of Trento,IT,Italy,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,24.6,9.4,18.0,46.6,31.8,6.1,85.8,7.2,25.7,Private
University of Florence,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,32.5,6.3,5.2,47.4,10.3,17.0,90.4,12.4,25.6,Private
James Cook University,AU,Australia,Oceania,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,13.9,10.2,11.9,63.3,55.7,19.5,79.6,7.6,25.5,Private
Rensselaer Polytechnic Institute,US,United States,North America,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,8.4,6.5,21.0,70.5,12.2,48.9,41.0,57.3,25.5,Public
